,SiteName,Site_years,Site_fullname,Lat.,Long.,ELV.,PFT,MAT,MAP,Clim.,Site_flag,Delay_status,Period,N,Calib.,Avai.analyzed.years-spring,Avai.site-years-spring,Avai.analyzed.years-springawinter,Avai.site-years-springawinter,Reference,PhenoCam,Cam_Period,Cam_Source,Cam_sitename,Cam_Avai
11,CA-TP4,12.52876712,Ontario - Turkey Point 1939 Plantation White Pine,42.7102,-80.3574,184,ENF,8,1036,Dfb,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,CH-Fru,8.520547945,FrÅebÅel,47.1158,8.5378,982,GRA,7.2,1651,Dfb,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,CN-Qia,3,Qianyanzhou,26.7414,115.0581,NA,ENF,18.95,1466.75,Cfa,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,CZ-BK1,10.16712329,Bily Kriz forest,49.5021,18.5369,875,ENF,6.7,1316,Dfb,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,CZ-BK2,5.816438356,Bily Kriz grassland,49.4944,18.5429,855,GRA,6.7,1316,Dfb,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,DE-Lkb,3.967123288,Lackenberg,49.0996,13.3047,1308,ENF,4,1599,Dfc,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,DE-Lnf,7.649315068,Leinefelde,51.3282,10.3678,451,DBF,6.96,894.6,Dfb,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,DK-Eng,3.073972603,Enghave,55.6905,12.1918,10,GRA,8,613,Dfb,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,DK-Sor,17.74246575,Soroe,55.4859,11.6446,40,DBF,8.2,660,Dfb,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,FI-Sod,13.34246575,Sodankyla,67.3624,26.6386,180,ENF,-1,500,Dfc,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
